Barcode,Name,Price
123456789,Lotto Sale,$0.00 
088004000066,Taaka Vodka 200ml,$2.19 
080480002930,D'Usse Cognac VSOP 375ml,$24.99 
02657512,Newport,$10.79 
080480983192,Dusse 200ml,$16.99 
02657318,Newport 100,$10.79 
811538011983,Jose Cuervo Gold 100 ml ,$2.99 
811538011990,✨Jose Cuervo Especial Silver Tequila - 100ml  ,$2.99 
088004000073,Taaka Vodka 375ml,$3.69 
088004045791,✨Paul Masson Brandy - 375ml         ,$5.99 
100,Soda Can 12oz,$1.09 
089000990740,99 Grape 200ml,$3.39 
088110150525,Hennessy 200ml,$13.99 
088110150556,Hennessy 750ml,$43.99 
088110150624,Hennessy 375ml,$22.99 
096749312504,Kentucky Deluxe 200 ml ,$2.49 
085000019467,New Amsterdam Vodka 100 ml ,$2.29 
088110150617,Hennessy 100ml,$8.99 
087236001131,✨Remy Martin VSOP Cognac 200 ML,$14.99 
088004026622,Southern Comfort 100 Proof 100ml,$2.29 
088004045807,✨Paul Masson Brandy - 200ml             ,$3.99 
087000007604,Crown Royal 375ml,$15.99 
200,C Beer Single,$1.59 
088004011543,Taaka 750ml,$5.99 
088004045777,Paul Masson 750ml,$10.99 
085000020418,New Amsterdam Peach 100ml ,$2.29 
088004009373,Fireball 100ml,$2.29 
082184081839,Jack 100ml,$3.99 
088004010133,Taaka 1L,$6.99 
700118827246,✨Barin Vodka - 1.75L        ,$9.99 
085000019474,New Amsterdam 200ml,$4.59 
811538010924,Jose Cuervo Repo 200ml,$7.99 
080480025601,Bacardi Gold 375ml,$7.99 
085000004265,E&J VS 375ml ,$5.99 
088004060466,Taaka Gin 375ml,$3.99 
856724006220,Casamigos Reposado 375ml,$23.99 
088004010126,✨Taaka Vodka - 1.75L,$11.99 
09057330,Kool Green 100,$9.99 
085000003831,E&J VSOP 375ml,$6.99 
080480002923,✨D'usse Cognac VSOP - 750ml,$49.99 
088004000363,Rich & Rare 375ml,$4.99 
619947000051,Titos 375ml,$12.99 
082184090510,✨Jack Daniel's Old No. 7 Tennessee Whiskey - 375ml    ,$13.99 
080432401224,Seagram Gin 375ml,$7.39 
088110955328,Buchanans 750ml,$40.99 
085000019481,New Amsterdam 375ml,$6.99 
088004024611,Stroyski Vodka 1.75L,$10.99 
087000007277,Crown Royal 200ml,$9.99 
811538010894,✨Jose Cuervo Reposado Tequila - 375ml,$12.99 
721733000944,Patron Silver 375ml,$23.99 
619947000020,Titos 750ml,$20.99 
080686961086,Courvoisier VS 375ml,$14.99 
856724006213,Casamigos Repo 750ml,$58.99 
082184090527,Jack 200ml,$8.99 
096749312207,Kentucky Delux 1L,$8.99 
085000004210,E&J VS 200ml,$3.99 
856724006237,✨Casamigos Reposado Tequila - 50ml   ,$6.99 
085000020401,New Amsterdam Peach 200ml,$4.59 
300,Soda/Juice 16oz,$2.09 
811538010832,Jose Cuervo Repo 750ml,$21.99 
088940000014,✨Taylor New York Desserts Port Wine - 750ml,$7.99 
088004060473,Taaka Gin 200ml,$2.39 
085000022290,New Amsterdam Pineapple 200ml,$4.59 
082000771548,Crown Royal Apple 200ml,$9.99 
674545000605,Don Julio Reposado 375 ML,$28.99 
08200802,✨Smirnoff Vodka 200 ML,$5.49 
080480015602,Bacardi Superior 375ml,$7.99 
088940000021,Taylor Ny Port 1.5L,$13.99 
096749312108,Kentucky Delux 1.75L,$14.99 
09057136,Kool Green S ,$9.99 
087236002114,Remy Martin 1738 750ml,$65.99 
619947000044,Titos 200ml,$6.99 
